iter	Passed	Remaining
0	39	39507
1	41	20509
2	43	14351
3	44	11183
4	46	9316
5	48	8040
6	50	7147
7	51	6407
8	52	5827
9	54	5384
10	55	4997
11	56	4660
12	57	4375
13	58	4140
14	60	3949
15	61	3803
16	63	3660
17	64	3522
18	65	3396
19	66	3273
20	67	3165
21	68	3066
22	70	2981
23	71	2897
24	72	2826
25	74	2780
26	75	2729
27	77	2679
28	78	2625
29	79	2569
30	80	2522
31	81	2475
32	82	2430
33	84	2390
34	85	2347
35	86	2309
36	87	2271
37	88	2234
38	89	2199
39	90	2177
40	92	2160
41	93	2138
42	94	2113
43	95	2084
44	97	2059
45	98	2034
46	99	2009
47	100	1987
48	101	1969
49	102	1946
50	103	1925
51	104	1908
52	106	1896
53	107	1880
54	108	1869
55	109	1852
56	111	1837
57	112	1820
58	113	1804
59	114	1789
60	115	1776
61	116	1766
62	118	1761
63	119	1753
64	121	1749
65	123	1745
66	124	1737
67	125	1725
68	126	1712
69	127	1699
70	129	1689
71	130	1678
72	131	1666
73	132	1655
74	133	1647
75	134	1638
76	135	1630
77	137	1624
78	138	1616
79	140	1610
80	141	1600
81	142	1591
82	143	1583
83	144	1578
84	146	1571
85	147	1566
86	148	1558
87	149	1552
88	150	1545
89	152	1541
90	153	1537
91	155	1532
92	156	1525
93	157	1518
94	158	1510
95	159	1502
96	160	1495
97	161	1488
98	162	1482
99	164	1477
100	165	1470
101	166	1465
102	167	1461
103	168	1453
104	170	1451
105	171	1444
106	172	1438
107	173	1432
108	175	1431
109	176	1428
110	177	1424
111	179	1419
112	179	1412
113	181	1406
114	182	1402
115	183	1400
116	185	1397
117	186	1393
118	187	1388
119	188	1383
120	189	1379
121	191	1374
122	192	1369
123	193	1365
124	194	1362
125	195	1357
126	196	1352
127	198	1349
128	199	1346
129	200	1343
130	201	1338
131	202	1334
132	204	1332
133	205	1330
134	207	1328
135	208	1323
136	209	1318
137	210	1313
138	211	1308
139	212	1304
140	213	1302
141	215	1300
142	216	1297
143	217	1294
144	218	1290
145	219	1286
146	220	1280
147	221	1277
148	223	1273
149	224	1269
150	225	1265
151	226	1261
152	227	1258
153	228	1255
154	230	1254
155	231	1251
156	232	1248
157	233	1246
158	234	1242
159	236	1241
160	237	1237
161	238	1233
162	239	1230
163	240	1227
164	241	1224
165	243	1220
166	244	1218
167	245	1216
168	247	1214
169	248	1211
170	249	1209
171	250	1207
172	252	1205
173	253	1201
174	254	1199
175	255	1198
176	257	1197
177	258	1194
178	260	1193
179	262	1194
180	264	1195
181	265	1192
182	266	1190
183	267	1187
184	268	1184
185	269	1181
186	271	1178
187	272	1175
188	273	1171
189	274	1168
190	275	1165
191	276	1164
192	278	1165
193	280	1164
194	281	1161
195	282	1158
196	283	1154
197	284	1151
198	285	1148
199	286	1146
200	287	1143
201	288	1140
202	289	1137
203	290	1135
204	292	1133
205	294	1133
206	295	1131
207	296	1128
208	297	1126
209	298	1123
210	299	1120
211	300	1118
212	302	1116
213	303	1113
214	303	1109
215	305	1107
216	307	1109
217	309	1111
218	311	1112
219	313	1110
220	314	1106
221	315	1104
222	316	1102
223	317	1099
224	318	1098
225	320	1097
226	322	1097
227	324	1099
228	326	1098
229	327	1095
230	328	1093
231	329	1090
232	330	1088
233	331	1085
234	332	1083
235	333	1081
236	335	1078
237	336	1076
238	338	1077
239	339	1076
240	341	1076
241	342	1074
242	344	1071
243	345	1069
244	346	1066
245	347	1064
246	348	1062
247	349	1059
248	350	1057
249	352	1058
250	354	1056
251	355	1056
252	357	1054
253	358	1052
254	359	1049
255	360	1047
256	361	1046
257	363	1044
258	364	1042
259	366	1042
260	368	1043
261	370	1042
262	371	1041
263	372	1039
264	374	1037
265	375	1034
266	376	1032
267	377	1030
268	378	1028
269	379	1027
270	381	1025
271	382	1023
272	384	1022
273	385	1021
274	386	1019
275	387	1017
276	389	1015
277	390	1013
278	391	1012
279	393	1011
280	394	1010
281	396	1008
282	397	1006
283	398	1005
284	400	1004
285	401	1003
286	403	1001
287	404	999
288	405	996
289	406	994
290	407	993
291	408	990
292	409	988
293	411	987
294	412	984
295	413	982
296	414	981
297	415	979
298	417	979
299	418	977
300	420	975
301	421	974
302	423	973
303	424	972
304	426	970
305	427	969
306	428	967
307	429	965
308	431	965
309	432	963
310	434	961
311	435	959
312	436	957
313	437	955
314	438	953
315	439	951
316	440	949
317	441	947
318	442	945
319	444	943
320	445	942
321	446	940
322	447	938
323	449	937
324	450	935
325	451	933
326	452	932
327	454	930
328	455	929
329	456	926
330	457	924
331	458	922
332	459	921
333	462	921
334	464	921
335	465	920
336	466	918
337	468	917
338	469	915
339	470	914
340	472	912
341	473	910
342	474	909
343	476	908
344	478	907
345	479	906
346	480	904
347	481	902
348	482	900
349	484	898
350	485	897
351	486	895
352	487	893
353	488	891
354	489	890
355	491	889
356	493	888
357	494	886
358	495	884
359	496	882
360	497	881
361	498	879
362	499	877
363	501	875
364	502	873
365	503	871
366	504	870
367	505	868
368	507	867
369	508	866
370	510	865
371	511	863
372	512	861
373	513	860
374	514	858
375	515	856
376	516	854
377	518	852
378	519	850
379	520	849
380	521	847
381	523	846
382	525	845
383	526	844
384	527	842
385	528	840
386	529	838
387	530	836
388	531	834
389	532	833
390	533	831
391	534	829
392	536	828
393	538	828
394	541	829
395	543	829
396	545	828
397	546	826
398	547	825
399	549	823
400	550	822
401	551	821
402	553	819
403	554	818
404	556	817
405	558	816
406	559	814
407	560	813
408	561	811
409	562	809
410	564	808
411	565	807
412	567	806
413	569	805
414	570	804
415	571	802
416	573	801
417	574	799
418	575	798
419	576	796
420	577	794
421	579	793
422	580	791
423	581	790
424	583	788
425	584	787
426	586	786
427	587	785
428	588	783
429	589	781
430	590	780
431	592	778
432	593	777
433	594	775
434	596	774
435	598	773
436	599	772
437	600	771
438	602	770
439	604	768
440	605	767
441	606	765
442	607	764
443	609	762
444	610	761
445	612	760
446	613	759
447	614	757
448	616	756
449	618	755
450	619	754
451	621	752
452	622	751
453	623	749
454	624	748
455	625	746
456	627	745
457	628	743
458	630	742
459	631	741
460	632	739
461	633	737
462	634	736
463	635	734
464	637	732
465	638	731
466	639	729
467	640	728
468	641	726
469	642	725
470	644	723
471	645	721
472	646	720
473	648	719
474	651	720
475	653	718
476	654	717
477	655	716
478	656	714
479	658	712
480	659	711
481	660	709
482	661	708
483	663	707
484	665	706
485	666	704
486	667	703
487	669	701
488	670	700
489	671	698
490	672	697
491	673	695
492	674	693
493	675	692
494	677	691
495	678	689
496	680	688
497	681	686
498	682	685
499	684	684
500	685	683
501	687	681
502	688	680
503	689	678
504	690	677
505	692	675
506	693	674
507	695	673
508	696	671
509	697	670
510	698	668
511	700	667
512	701	665
513	702	664
514	703	662
515	704	661
516	705	659
517	706	657
518	708	656
519	709	654
520	710	653
521	711	651
522	712	650
523	713	648
524	715	646
525	716	645
526	717	644
527	718	642
528	719	641
529	721	639
530	722	638
531	723	636
532	725	635
533	726	634
534	728	633
535	730	632
536	731	630
537	733	629
538	734	628
539	736	627
540	737	625
541	738	624
542	740	623
543	741	621
544	743	620
545	744	619
546	745	617
547	747	616
548	748	614
549	749	613
550	750	611
551	751	610
552	752	608
553	754	607
554	755	606
555	757	604
556	759	603
557	760	602
558	761	600
559	762	599
560	763	597
561	765	596
562	766	594
563	767	593
564	768	591
565	770	590
566	771	589
567	772	587
568	773	586
569	774	584
570	775	582
571	777	581
572	778	579
573	779	578
574	780	577
575	781	575
576	783	574
577	784	572
578	785	571
579	786	569
580	787	568
581	789	566
582	790	565
583	791	563
584	792	562
585	793	560
586	795	559
587	796	557
588	797	556
589	799	555
590	800	554
591	802	553
592	803	551
593	804	550
594	806	548
595	807	547
596	808	545
597	809	544
598	810	542
599	811	541
600	813	539
601	814	538
602	815	536
603	816	535
604	817	533
605	818	532
606	819	530
607	821	529
608	822	527
609	823	526
610	824	524
611	826	523
612	827	522
613	829	521
614	831	520
615	832	518
616	833	517
617	834	516
618	836	514
619	837	513
620	838	511
621	839	510
622	840	508
623	842	507
624	843	506
625	845	505
626	846	503
627	847	502
628	848	500
629	850	499
630	851	497
631	852	496
632	853	495
633	855	493
634	856	492
635	857	490
636	858	489
637	860	487
638	861	486
639	862	485
640	863	483
641	864	482
642	865	480
643	866	479
644	867	477
645	869	476
646	870	474
647	871	473
648	872	471
649	874	470
650	875	469
651	876	467
652	877	466
653	878	464
654	879	463
655	881	462
656	882	460
657	884	459
658	885	458
659	886	456
660	888	455
661	890	454
662	891	453
663	893	451
664	894	450
665	895	448
666	896	447
667	897	446
668	898	444
669	899	443
670	901	441
671	902	440
672	903	439
673	904	437
674	906	436
675	907	434
676	908	433
677	909	431
678	911	430
679	912	429
680	913	428
681	915	426
682	916	425
683	917	423
684	918	422
685	919	421
686	921	419
687	922	418
688	923	416
689	924	415
690	926	414
691	927	412
692	928	411
693	929	409
694	931	408
695	932	407
696	933	405
697	934	404
698	936	403
699	937	401
700	938	400
701	939	398
702	941	397
703	943	396
704	944	395
705	946	393
706	947	392
707	948	391
708	950	389
709	951	388
710	952	387
711	953	385
712	954	384
713	956	383
714	958	381
715	959	380
716	960	379
717	961	377
718	963	376
719	964	375
720	965	373
721	966	372
722	967	370
723	969	369
724	970	368
725	971	366
726	973	365
727	974	364
728	975	362
729	976	361
730	978	359
731	979	358
732	980	357
733	981	355
734	982	354
735	983	352
736	985	351
737	986	350
738	987	348
739	988	347
740	990	346
741	991	344
742	992	343
743	993	341
744	994	340
745	996	339
746	997	337
747	998	336
748	1000	335
749	1001	333
750	1002	332
751	1004	331
752	1005	329
753	1007	328
754	1008	327
755	1009	325
756	1010	324
757	1011	323
758	1013	321
759	1014	320
760	1015	318
761	1016	317
762	1017	316
763	1019	314
764	1020	313
765	1021	312
766	1022	310
767	1023	309
768	1024	307
769	1026	306
770	1027	305
771	1028	303
772	1029	302
773	1030	300
774	1032	299
775	1033	298
776	1035	297
777	1036	295
778	1037	294
779	1038	292
780	1040	291
781	1041	290
782	1042	288
783	1043	287
784	1044	286
785	1046	284
786	1047	283
787	1048	282
788	1049	280
789	1050	279
790	1052	277
791	1053	276
792	1054	275
793	1055	273
794	1056	272
795	1057	271
796	1059	269
797	1060	268
798	1061	267
799	1062	265
800	1063	264
801	1065	262
802	1066	261
803	1068	260
804	1069	259
805	1070	257
806	1071	256
807	1072	254
808	1074	253
809	1075	252
810	1076	250
811	1077	249
812	1079	248
813	1080	246
814	1081	245
815	1082	244
816	1083	242
817	1084	241
818	1085	239
819	1087	238
820	1088	237
821	1089	235
822	1090	234
823	1091	233
824	1092	231
825	1093	230
826	1095	229
827	1096	227
828	1097	226
829	1098	225
830	1099	223
831	1100	222
832	1102	220
833	1103	219
834	1104	218
835	1105	216
836	1107	215
837	1108	214
838	1110	213
839	1111	211
840	1112	210
841	1114	209
842	1115	207
843	1116	206
844	1117	205
845	1118	203
846	1119	202
847	1120	200
848	1122	199
849	1123	198
850	1124	196
851	1125	195
852	1126	194
853	1127	192
854	1128	191
855	1129	190
856	1131	188
857	1132	187
858	1133	186
859	1135	184
860	1136	183
861	1137	182
862	1138	180
863	1139	179
864	1140	178
865	1142	176
866	1143	175
867	1144	174
868	1145	172
869	1146	171
870	1147	169
871	1148	168
872	1149	167
873	1151	165
874	1152	164
875	1153	163
876	1154	161
877	1155	160
878	1157	159
879	1158	157
880	1159	156
881	1161	155
882	1162	154
883	1163	152
884	1165	151
885	1166	150
886	1167	148
887	1169	147
888	1170	146
889	1171	144
890	1172	143
891	1173	142
892	1174	140
893	1175	139
894	1177	138
895	1178	136
896	1179	135
897	1180	134
898	1181	132
899	1182	131
900	1183	130
901	1185	128
902	1186	127
903	1187	126
904	1188	124
905	1191	123
906	1193	122
907	1194	121
908	1196	119
909	1197	118
910	1198	117
911	1200	115
912	1201	114
913	1202	113
914	1203	111
915	1204	110
916	1205	109
917	1207	107
918	1210	106
919	1211	105
920	1212	104
921	1213	102
922	1214	101
923	1215	100
924	1217	98
925	1218	97
926	1219	96
927	1220	94
928	1222	93
929	1223	92
930	1224	90
931	1225	89
932	1226	88
933	1228	86
934	1229	85
935	1230	84
936	1231	82
937	1232	81
938	1234	80
939	1235	78
940	1236	77
941	1238	76
942	1239	74
943	1241	73
944	1242	72
945	1243	70
946	1244	69
947	1245	68
948	1246	67
949	1248	65
950	1249	64
951	1250	63
952	1252	61
953	1253	60
954	1254	59
955	1256	57
956	1257	56
957	1258	55
958	1259	53
959	1261	52
960	1262	51
961	1263	49
962	1266	48
963	1268	47
964	1269	46
965	1270	44
966	1272	43
967	1273	42
968	1275	40
969	1276	39
970	1277	38
971	1278	36
972	1279	35
973	1280	34
974	1282	32
975	1284	31
976	1286	30
977	1287	28
978	1288	27
979	1290	26
980	1291	25
981	1292	23
982	1294	22
983	1296	21
984	1297	19
985	1299	18
986	1301	17
987	1303	15
988	1305	14
989	1306	13
990	1307	11
991	1308	10
992	1309	9
993	1311	7
994	1312	6
995	1314	5
996	1316	3
997	1318	2
998	1319	1
999	1321	0
